#,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1036,21/08/2019,731,755,730,755,2.03,461,"3,39,124.00"
1035,22/08/2019,764,764,764,764,1.19,10,"7,640.00"
1034,25/08/2019,759,759,759,759,-0.65,10,"7,590.00"
1033,26/08/2019,745,745,730,730,-3.82,340,"2,52,700.00"
1032,27/08/2019,744,758,731,731,0.14,50,"37,200.00"
1031,28/08/2019,745,745,736,736,0.68,65,"47,930.00"
1030,29/08/2019,727,739,726,739,0.41,236,"1,71,805.00"
1029,01/09/2019,749,749,726,726,-1.76,220,"1,60,440.00"
1028,02/09/2019,713,713,700,700,-3.58,755,"5,32,965.00"
1027,03/09/2019,690,720,690,720,2.86,"1,820","12,87,730.00"
1026,04/09/2019,720,735,720,735,2.08,228,"1,66,217.00"
1025,05/09/2019,735,735,707,707,-3.81,323,"2,29,617.00"
1024,08/09/2019,699,707,699,707,0,701,"4,91,959.00"
1023,09/09/2019,705,710,699,700,-0.99,759,"5,31,749.00"
1022,10/09/2019,704,728,704,720,2.86,450,"3,21,488.00"
1021,11/09/2019,715,715,679,679,-5.69,"5,834","39,84,395.00"
1020,15/09/2019,687,687,661,661,-3.78,559,"3,78,750.00"
1019,16/09/2019,658,665,651,655,-0.91,106,"69,774.00"
1018,17/09/2019,650,685,650,679,3.66,446,"3,03,322.00"
1017,18/09/2019,680,690,680,690,1.62,329,"2,26,152.00"
1016,19/09/2019,687,687,666,666,-3.48,890,"5,96,660.00"
1015,22/09/2019,665,665,654,654,-1.8,280,"1,83,690.00"
1014,23/09/2019,650,660,650,660,0.92,224,"1,46,816.00"
1013,24/09/2019,651,657,651,653,-1.06,412,"2,70,212.00"
1012,26/09/2019,651,663,651,655,0.31,110,"71,918.00"
1011,29/09/2019,652,654,651,654,-0.15,434,"2,83,274.00"
1010,01/10/2019,655,655,654,655,0.15,240,"1,57,190.00"
1009,02/10/2019,650,651,646,650,-0.76,790,"5,12,550.00"
1008,03/10/2019,663,715,663,674,3.69,401,"2,79,531.00"
1007,14/10/2019,670,670,670,670,-0.59,133,"89,110.00"
1006,15/10/2019,683,683,683,683,1.94,11,"7,513.00"
1005,16/10/2019,672,672,672,672,-1.61,50,"33,600.00"
1004,17/10/2019,663,665,650,650,-3.27,"1,400","9,24,365.00"
1003,20/10/2019,650,650,650,650,0,250,"1,62,500.00"
1002,21/10/2019,655,663,655,655,0.77,800,"5,24,240.00"
1001,22/10/2019,651,660,650,660,0.76,137,"89,190.00"
1000,23/10/2019,661,668,660,668,1.21,459,"3,03,662.00"
999,24/10/2019,671,671,671,671,0.45,10,"6,710.00"
998,03/11/2019,671,675,670,670,-0.15,299,"2,00,747.00"
997,05/11/2019,670,658,658,658,-1.79,24,"10,528.00"
995,06/11/2019,658,662,658,660,0.3,579,"3,81,627.00"
996,06/11/2019,658,658,658,658,0,16,"3,81,627.00"
994,07/11/2019,660,673,670,673,1.97,107,"71,861.00"
993,10/11/2019,660,670,660,670,-0.45,200,"1,33,500.00"
992,11/11/2019,678,710,678,707,5.52,867,"5,96,929.00"
991,12/11/2019,707,720,678,703,-0.57,"3,606","25,59,460.00"
990,13/11/2019,700,709,691,691,-1.71,320,"2,23,190.00"
989,18/11/2019,685,685,685,685,-0.87,30,"20,550.00"
988,19/11/2019,688,690,688,690,0.73,170,"1,17,160.00"
987,21/11/2019,690,690,652,652,-5.51,"1,067","7,33,803.00"
986,24/11/2019,665,674,665,672,3.07,535,"3,57,957.00"
985,25/11/2019,670,680,662,680,1.19,243,"1,62,886.00"
984,26/11/2019,685,698,670,683,0.44,"1,517","10,33,926.00"
983,27/11/2019,583,583,563,569,-4.19,459,"2,62,835.00"
982,28/11/2019,579,579,578,579,1.76,488,"2,82,452.00"
981,01/12/2019,580,580,580,580,0.17,49,"28,420.00"
980,03/12/2019,591,591,590,591,1.9,411,"2,42,565.00"
979,04/12/2019,601,613,601,613,3.72,536,"3,22,976.00"
978,05/12/2019,624,637,624,625,1.96,591,"3,70,812.00"
977,08/12/2019,637,649,613,625,0,570,"3,57,690.00"
976,09/12/2019,637,672,637,660,5.6,"1,371","9,03,216.00"
975,10/12/2019,660,672,647,672,1.82,448,"2,94,716.00"
974,11/12/2019,683,708,683,707,5.21,"2,771","19,16,549.00"
973,12/12/2019,715,715,686,686,-2.97,"2,365","16,53,674.00"
972,15/12/2019,674,679,665,665,-3.06,340,"3,62,592.00"
971,16/12/2019,650,673,650,668,2.45,814,"5,37,790.00"
970,17/12/2019,660,691,660,691,3.44,"1,305","8,84,085.00"
969,18/12/2019,683,683,670,670,-3.04,"1,700","11,50,800.00"
968,19/12/2019,657,670,657,670,0,"1,053","7,04,982.00"
967,22/12/2019,657,657,657,657,-1.94,196,"1,28,772.00"
966,23/12/2019,660,680,660,680,3.5,"1,861","12,59,008.00"
965,24/12/2019,693,693,657,670,-1.47,250,"1,67,710.00"
964,25/12/2019,680,680,670,678,1.19,820,"5,56,560.00"
963,26/12/2019,670,678,665,669,-1.33,338,"2,27,125.00"
962,29/12/2019,665,670,658,670,0.15,"1,270","8,36,904.00"
961,30/12/2019,660,677,660,677,1.04,255,"1,69,664.00"
960,31/12/2019,685,690,685,690,1.92,350,"2,40,590.00"
959,01/01/2020,690,728,689,714,3.48,"5,812","40,45,958.00"
958,02/01/2020,706,735,706,719,0.7,"2,900","21,04,818.00"
957,05/01/2020,725,752,725,740,2.92,785,"5,82,948.00"
956,06/01/2020,736,780,735,775,4.73,"3,760","28,59,059.00"
955,07/01/2020,775,795,766,795,2.58,"2,692","20,89,024.00"
954,08/01/2020,807,820,788,788,-0.88,"3,784","30,47,572.00"
953,09/01/2020,793,845,793,825,4.7,"4,532","37,25,537.00"
952,12/01/2020,841,885,833,884,7.15,"4,813","45,13,090.00"
951,13/01/2020,895,900,852,853,-3.62,"4,864","42,84,468.00"
950,14/01/2020,850,887,850,883,3.52,"4,902","42,62,656.00"
949,15/01/2020,898,909,870,909,2.94,"3,227","29,12,870.00"
948,16/01/2020,925,999,909,999,9.9,"6,845","66,55,239.00"
947,19/01/2020,"1,018.00","1,069.00","1,010.00","1,069.00",7.01,"2,771","89,25,038.00"
946,20/01/2020,991,"1,020.00",918,936,-5.55,"5,412","54,73,285.00"
945,21/01/2020,923,977,922,977,3.94,"1,063","10,05,284.00"
944,22/01/2020,958,"1,005.00",958,"1,002.00",2.56,"7,358","73,17,605.00"
943,23/01/2020,"1,022.00","1,030.00",982,995,-0.7,"8,528","85,26,671.00"
942,26/01/2020,"1,006.00","1,006.00",950,950,-4.52,"1,255","14,68,425.00"
941,27/01/2020,952,998,952,996,2.68,"3,132","30,72,895.00"
940,28/01/2020,990,"1,024.00",990,"1,008.00",1.2,"9,781","98,33,353.00"
939,29/01/2020,"1,010.00","1,068.00","1,010.00","1,068.00",5.95,"6,683","70,02,334.00"
938,30/01/2020,"1,073.00","1,073.00","1,045.00","1,056.00",-1.12,"2,668","28,35,745.00"
937,02/02/2020,"1,077.00","1,098.00","1,054.00","1,075.00",1.8,"2,033","23,83,337.00"
936,03/02/2020,"1,076.00","1,103.00","1,055.00","1,061.00",0,"2,412","25,83,004.00"
935,04/02/2020,"1,081.00","1,090.00","1,042.00","1,042.00",-1.79,"2,759","29,22,442.00"
934,05/02/2020,"1,041.00","1,061.00","1,021.00","1,061.00",-0.09,"3,853","39,70,235.00"
933,06/02/2020,"1,050.00","1,067.00","1,026.00","1,026.00",-3.3,"2,850","29,73,524.00"
932,09/02/2020,"1,037.00","1,045.00","1,003.00","1,004.00",-2.14,"6,207","63,17,519.00"
931,10/02/2020,996,"1,030.00",996,"1,025.00",2.09,"1,858","18,89,776.00"
930,11/02/2020,"1,045.00","1,090.00","1,040.00","1,090.00",6.34,"5,095","54,32,846.00"
929,12/02/2020,"1,110.00","1,192.00","1,093.00","1,169.00",7.25,"8,496","95,87,936.00"
928,13/02/2020,"1,192.00","1,200.00","1,166.00","1,167.00",-0.17,"7,668","90,63,579.00"
927,16/02/2020,"1,145.00","1,215.00","1,145.00","1,205.00",3.26,"5,618","67,12,758.00"
926,17/02/2020,"1,229.00","1,240.00","1,205.00","1,214.00",0.75,"3,135","38,38,782.00"
925,18/02/2020,"1,200.00","1,200.00","1,145.00","1,145.00",-5.68,"6,638","78,36,087.00"
924,19/02/2020,"1,167.00","1,224.00","1,167.00","1,204.00",5.15,"3,546","42,32,566.00"
923,20/02/2020,"1,204.00","1,287.00","1,227.00","1,268.00",5.32,"11,553","1,45,16,034.00"
922,23/02/2020,"1,293.00","1,349.00","1,265.00","1,265.00",-0.24,"6,286","81,35,973.00"
921,24/02/2020,"1,265.00","1,269.00","1,240.00","1,253.00",-0.95,"3,035","38,01,577.00"
920,25/02/2020,"1,253.00","1,333.00","1,236.00","1,300.00",3.75,"4,420","57,11,671.00"
919,26/02/2020,"1,300.00","1,375.00","1,300.00","1,350.00",3.85,"7,712","1,03,73,543.00"
918,27/02/2020,"1,330.00","1,350.00","1,304.00","1,320.00",-2.22,"4,620","61,29,908.00"
917,01/03/2020,"1,320.00","1,318.00","1,235.00","1,246.00",-5.61,"5,914","75,41,091.00"
916,02/03/2020,"1,223.00","1,226.00","1,161.00","1,162.00",-6.74,"3,537","42,12,119.00"
915,03/03/2020,"1,162.00","1,190.00","1,049.00","1,110.00",-4.48,"8,803","98,63,273.00"
913,05/03/2020,"1,000.00","1,118.00",998,"1,050.00",3.14,"5,278","55,56,783.00"
914,05/03/2020,"1,110.00","1,153.00","1,018.00","1,018.00",-8.29,"7,552","55,56,783.00"
912,10/03/2020,"1,029.00","1,029.00",990,990,-5.71,"1,959","19,59,832.00"
911,11/03/2020,"1,009.00","1,089.00","1,009.00","1,089.00",10,"5,911","61,76,825.00"
910,12/03/2020,"1,100.00","1,110.00","1,025.00","1,034.00",-5.05,"8,602","91,07,339.00"
909,15/03/2020,"1,014.00","1,054.00",990,991,-4.16,"21,064","2,13,75,823.00"
908,16/03/2020,975,"1,030.00",970,"1,020.00",2.93,"4,065","40,48,848.00"
907,17/03/2020,"1,014.00","1,014.00",966,969,-5,"3,003","29,28,163.00"
906,18/03/2020,951,989,916,951,-1.86,"3,008","28,37,913.00"
905,19/03/2020,951,999,932,975,0.52,"1,826","17,68,797.00"
904,22/03/2020,956,956,956,956,-1.95,100,"95,600.00"
903,12/05/2020,937,937,928,928,-2.93,20,"18,650.00"
902,13/05/2020,910,910,910,910,-1.94,10,"9,100.00"
901,29/06/2020,892,892,892,892,-1.98,496,"4,42,432.00"
900,30/06/2020,909,909,909,909,1.91,75,"68,175.00"
899,01/07/2020,900,936,900,936,2.97,47,"42,840.00"
898,02/07/2020,942,942,942,942,0.64,100,"1,23,010.00"
897,05/07/2020,992,"1,000.00",992,"1,000.00",2.77,40,"7,07,599.00"
896,06/07/2020,963,"1,029.00",963,"1,029.00",7.08,"3,044","30,37,444.00"
895,07/07/2020,"1,029.00","1,100.00","1,020.00","1,100.00",6.9,"2,369","24,97,422.00"
894,08/07/2020,"1,080.00","1,085.00","1,062.00","1,066.00",-3.09,839,"9,03,572.00"
893,09/07/2020,"1,050.00","1,087.00","1,050.00","1,080.00",1.31,"1,687","18,11,764.00"
892,12/07/2020,"1,100.00","1,125.00","1,083.00","1,120.00",3.7,"3,007","33,47,037.00"
891,13/07/2020,"1,120.00","1,164.00","1,106.00","1,164.00",3.93,"2,414","27,10,806.00"
890,14/07/2020,"1,186.00","1,218.00","1,164.00","1,190.00",2.23,"4,091","48,74,887.00"
889,15/07/2020,"1,213.00","1,214.00","1,180.00","1,214.00",2.02,"3,756","44,97,580.00"
888,16/07/2020,"1,190.00","1,215.00","1,189.00","1,209.00",-0.41,"1,477","17,74,956.00"
887,20/07/2020,"1,269.00","1,269.00","1,117.00","1,140.00",-5.71,"1,848","21,59,432.00"
886,21/07/2020,"1,162.00","1,192.00","1,118.00","1,159.00",1.67,"1,515","17,65,325.00"
885,22/07/2020,"1,159.00","1,188.00","1,150.00","1,150.00",-0.78,"2,968","34,63,319.00"
884,23/07/2020,"1,150.00","1,173.00","1,150.00","1,160.00",0.87,851,"9,85,949.00"
883,27/07/2020,"1,192.00","1,221.00","1,171.00","1,180.00",0.94,"7,321","89,16,509.00"
882,28/07/2020,"1,160.00","1,203.00","1,160.00","1,189.00",0.76,987,"11,70,543.00"
881,29/07/2020,"1,166.00","1,170.00","1,121.00","1,125.00",-5.38,"3,910","44,68,791.00"
880,30/07/2020,"1,125.00","1,155.00","1,103.00","1,152.00",2.4,"2,108","23,70,466.00"
879,02/08/2020,"1,129.00","1,150.00","1,086.00","1,110.00",-3.65,"2,280","25,25,173.00"
878,03/08/2020,"1,110.00","1,140.00","1,110.00","1,139.00",2.61,"1,963","22,11,437.00"
877,05/08/2020,"1,117.00","1,120.00","1,095.00","1,120.00",-1.67,"2,130","25,74,960.00"
876,06/08/2020,"1,103.00","1,134.00","1,103.00","1,116.00",-0.36,904,"10,08,100.00"
875,09/08/2020,"1,094.00","1,140.00","1,075.00","1,140.00",2.15,"1,366","15,12,454.00"
874,10/08/2020,"1,150.00","1,145.00","1,118.00","1,145.00",0.44,"1,958","7,07,907.00"
873,11/08/2020,"1,165.00","1,165.00","1,115.00","1,130.00",-1.31,763,"8,56,695.00"
872,12/08/2020,"1,120.00","1,139.00","1,101.00","1,131.00",0.09,"1,416","15,72,655.00"
871,13/08/2020,"1,109.00","1,125.00","1,094.00","1,095.00",-3.18,"2,997","33,20,402.00"
870,16/08/2020,"1,075.00","1,090.00","1,060.00","1,080.00",-1.37,"3,262","35,13,224.00"
869,17/08/2020,"1,070.00","1,090.00","1,065.00","1,074.00",-0.56,544,"5,84,528.00"
868,18/08/2020,"1,095.00","1,120.00","1,074.00","1,120.00",4.28,"2,140","23,38,639.00"
867,19/08/2020,"1,099.00","1,099.00","1,081.00","1,085.00",-3.12,"1,121","12,16,835.00"
